Lever,Lev,Leaver,,,,,,,,,,,,,,,,,,,
Lewell,Lawell,,,,,,,,,,,,,,,,,,,,
Lewer,Lawer,,,,,,,,,,,,,,,,,,,,
Lewes,,,,,,,,,,,,,,,,,,,,,
Lewins,Lewaynes,,,,,,,,,,,,,,,,,,,,
Lewishe,,,,,,,,,,,,,,,,,,,,,
Lewling,,,,,,,,,,,,,,,,,,,,,
Leythfont,,,,,,,,,,,,,,,,,,,,,
Liddell,Liddle,Lidell,Liddall,Liddale,Liddayl,Lyddale,Lyddall,Lyddell,Lyddle,Lydell,Lydderdaile,Leddell,Ledell,Leddel,Ledell,Ledall,Leddayll,Leadell,,,
Life,Lyffe,,,,,,,,,,,,,,,,,,,,
Light,Lighte,Lightte,Lyghte,,,,,,,,,,,,,,,,,,
Lightburn,Lyghtbowne,,,,,,,,,,,,,,,,,,,,
Lightfoot,Lightfoote,Lyghfoote,Lyghtfoote,,,,,,,,,,,,,,,,,,
Lightley,Lightlay,Lightlayre,Lightley,Lightlie,Lyghtlie,,,,,,,,,,,,,,,,
Lightmaker,Laghtmaker,,,,,,,,,,,,,,,,,,,,
Lilburn,Lilborne,Lilbourne,Lylborn,Lylborne,Lylbornn,Lylbourne,,,,,,,,,,,,,,,
Lilforth,Lylforth,Lylforthe,Lylfote,Lylfourth,Lylfurth,,,,,,,,,,,,,,,,
Lillam,,,,,,,,,,,,,,,,,,,,,
Lillie,Lighly,,,,,,,,,,,,,,,,,,,,
Lind,Lynd,,,,,,,,,,,,,,,,,,,,
Ling,Linge,Lin,Lyng,Lynge,,,,,,,,,,,,,,,,,
Linger,Lynger,,,,,,,,,,,,,,,,,,,,
Linley,Linlay,Lynley,,,,,,,,,,,,,,,,,,,
Linsay,Lensaye,Lynsaie,Lynsay,Lynsey,Lynseye,Linzay,,,,,,,,,,,,,,,
Linsdale,Linsdell,Lindsdel,,,,,,,,,,,,,,,,,,,
Linskill,Leinskell,Linskell,Linscale,,,,,,,,,,,,,,,,,,
Linsley,Linslye,Linnesley,Linsley,Lynslay,Lynsley,Lynesley,Lymslay,,,,,,,,,,,,,,
Lintel,Lintall,,,,,,,,,,,,,,,,,,,,
Linton,Lintineth,,,,,,,,,,,,,,,,,,,,
Lisley,,,,,,,,,,,,,,,,,,,,,
Lister,Litster,Litstere,Lytster,,,,,,,,,,,,,,,,,,
Lithgoe,,,,,,,,,,,,,,,,,,,,,
Little,Litle,Littel,Littell,Lytle,Lyttell,Lyttle,,,,,,,,,,,,,,,
Littler,,,,,,,,,,,,,,,,,,,,,
Littlefair,Littlefaire,Littlefare,Littlefar,Littlephare,Litlefair,Litlefar,Litlefare,Lytlefare,Litlehair,,,,,,,,,,,,
Loadman,Loadsman,Leadsman,,,,,,,,,,,,,,,,,,,
Lobley,Loblie,,,,,,,,,,,,,,,,,,,,
Lock,Locke,,,,,,,,,,,,,,,,,,,,
Lockey,Lockie,Lockay,Lockye,Lokay,,,,,,,,,,,,,,,,,
Lockson,Locksonne,Loxon,,,,,,,,,,,,,,,,,,,
Lockwood,Lockewood,Lokwoode,,,,,,,,,,,,,,,,,,,
Loden,,,,,,,,,,,,,,,,,,,,,
Lodge,Lodg,Loodge,Loudge,Ludg,,,,,,,,,,,,,,,,,
Loftus,Loftis,Loftes,Lofteis,,,,,,,,,,,,,,,,,,
Logan,Loggan,Loggen,Loggon,Loggain,,,,,,,,,,,,,,,,,
Loman,,,,,,,,,,,,,,,,,,,,,
Lone,,,,,,,,,,,,,,,,,,,,,
Long,Longe,Loange,,,,,,,,,,,,,,,,,,,
Longdale,,,,,,,,,,,,,,,,,,,,,
Longhorn,,,,,,,,,,,,,,,,,,,,,
Longking,Lonken,Lonkin,Lonkinge,Lonkking,,,,,,,,,,,,,,,,,
Longland,,,,,,,,,,,,,,,,,,,,,
Longnewton,,,,,,,,,,,,,,,,,,,,,
Longstaff,Longstaffe,Longstafe,Longestaffe,,,,,,,,,,,,,,,,,,
Lonsdale,Lonssdaile,Lonsdall,Lonsdell,Lonesdaile,Lonisdell,Lonsdaile,Lonsdaille,Loansdaile,Londesdale,Lonesdaile,Lonesdall,Loinsdaill,Lonestall,Lounsdaile,Lounsdell,Lownesdell,Lownsdaile,Lonsedaile,,,
Lonsdon,,,,,,,,,,,,,,,,,,,,,
Look,Looke,,,,,,,,,,,,,,,,,,,,
Lorriman,Loriman,,,,,,,,,,,,,,,,,,,,
Lough,,,,,,,,,,,,,,,,,,,,,
Love,,,,,,,,,,,,,,,,,,,,,
Lowder,Looder,,,,,,,,,,,,,,,,,,,,
Lowe,Lowes,Lowse,Low,,,,,,,,,,,,,,,,,,
Lowick,Lowhicke,,,,,,,,,,,,,,,,,,,,
Lowry,Lowrye,Lowrie,Lawry,Lawrye,,,,,,,,,,,,,,,,,
Lowther,Louthar,Lother,Lowthas,,,,,,,,,,,,,,,,,,
Lox,,,,,,,,,,,,,,,,,,,,,
Lucas,,,,,,,,,,,,,,,,,,,,,
Luckley,Locksley,Loxley,Lockley,,,,,,,,,,,,,,,,,,
Luckner,Lewknor,Luckenor,Lukener,Lunkor,,,,,,,,,,,,,,,,,
Ludworth,,,,,,,,,,,,,,,,,,,,,
Lug,,,,,,,,,,,,,,,,,,,,,
Lulling,Lulinge,,,,,,,,,,,,,,,,,,,,
Lumley,Lumly,Lumlye,Lumlay,Lumbley,Lumbye,Lumlie,Lumlye,Lomlay,Lomley,,,,,,,,,,,,
Lund,,,,,,,,,,,,,,,,,,,,,
Lupton,,,,,,,,,,,,,,,,,,,,,
Lute,,,,,,,,,,,,,,,,,,,,,
Lyall,Lyell,Lile,Liell,Leill,Lyle,Lyole,Lell,,,,,,,,,,,,,,
Lymington,Lymptonn,,,,,,,,,,,,,,,,,,,,
Lynn,Lynne,Lynnes,Linne,Lyn,Lyne,,,,,,,,,,,,,,,,
Lyon,Lyen,Lien,Lyons,,,,,,,,,,,,,,,,,,
Lyoness,Lyonesse,Lionesse,Lyannesse,,,,,,,,,,,,,,,,,,
Lythe,,,,,,,,,,,,,,,,,,,,,
Hedworth,Ledworth,,,,,,,,,,,,,,,,,,,,
