Babington,Babbingeton,Babyngton,Bavington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baptist,babtist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barber,Barbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barge,Bardge,Bargs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bargewell,Bargewill,Badgwell,Bargwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barehead,Buried,Bairhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrowfoot,Barforth,Bawforth,Bawforthe,Bawfforthe,barfoot,Baraffoute,Barrowfoot,Barafoot,Barafoote,Barafoute,Barefoot,Barfort,Barford,Barowford,Barrafoot,Barraford,Barrafore,Barraforth,Barrofoot,Barroford,Barrowford,Barrowfoott,Barrowforth,Burford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrasford,Barasford,Baresford,Barisford,Beresford,Barrassford,Barresford,Barrisford,Barrowsford,Barsford,Bersford,Bursford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bargate,Bargait,Barget,Bargett,Barket,Bergett,Bardget,Bardgett,Bargat,Bargitt,Barregatt,Barrogate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bygate,Bygod,Bigat,Bigett,Biggart,Bigget,Biggit,Biggot,Bighet,Bigot,Bigott,Byegate,Bygaite,Bygett,Bygot,Bygott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgate,Bridgett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barke,Bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barker,Barkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barkas,Barkus,Barchus,Barkusse,Barcasse,Barcus,Barckes,Bargs,barkhouse,Barckhouse,bargus,Bakerss,Barcas,Barcase,Barcass,Barckas,Barckasse,Barckas,Barckus,Barckouss,Barkase,Barkass,Barkasse,Barkeass,Barkeoss,Barkers,Barkes,Barkess,Barkhose,Barkis,Barkiss,Barks,Berkhouse,,,,,,,,,,,,,,,,,,,,,,
Barley,Barlye,Barlay,Barlaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barlow,Barloe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnaby,Barnebie,Bornbye,Burnebye,Barnabe,Barmby,Barnabe,Parnaby,Barnby,Barnby,Burnbye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnard,Bernard,Barnet,Barnett,Burnet,Burnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnes,Barns,Barness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnfather,Barnefather,Barneforth,Barnafach,Bainfathers,Bairnfather,Banfather,Barnfarther,Barnffather,Barnforth,Barrnfather,Bonfather,Bransfather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnwell,Bornwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baron,barron,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barras,Barress,Barres,Barrese,Baris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry,Barrye,Barrey,Barrie,Barray,Barye,Berry,Berrye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barty,Bartay,Bardy,Barday,Bardey,Bardie,Bardye,Barde,Bartys,Bartey,Bartie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartle,Barkle,Bartel,Bartell,Bartil,Bartill,Bartl,Bartles,Burtels,Burtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barton,Bartonn,Bartton,Burton,Burtone,Burtonn,Borton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartram,Bartrome,Berthram,Bartlam,Bardam,bertram,Baltrim,Baltrum,Bartam,Barteram,Barterham,Barterman,Bartesham,Bartham,Barthern,Barthram,Barthrom,Barthrum,Bartime,Bartraim,Bartlem,Bartlom,Bartrem,Bartrim,Bartrin,Bartrum,Barttaram,Barttram,Bateram,Batram,Batrim,Batterim,Battram,Battrim,Battrum,Bautheram,Bawtram,Beartram,Bertham,Berthom,Bertrand,Bertrem,Bertrim,Burtholm,Burtom,Burtram,,,,,,,,,
Barwick,Barwicke,Barwycke,Barwyke,Barricke,Berwick,Berreck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basnet,Basnett,Bassnet,Bassnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bateman,Bathman,Batman,baitman,betman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates,Baytes,Bayts,Baites,Baetes,Baets,Baits,Beates,Baite,Bayte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bateson,Baytson,Bayteson,Batsonn,Bedson,Betson,Betsone,Betsonne,Bettson,Bettsone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batey,Baytie,beatty,beattie,baty,batty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath,Bathie,Bayth,Bathe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
