Dent,Dente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denton,Deynton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derby,Darbye,Darbie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbyshire,Dabishyre,darbyshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dethick,Dethic,Dethicke,Duthic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewbury,Dewbery,dewsbury,dewsberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewer,Deuer,dewar,duer,Doore,door,Dure,,,,,,,,,,,,,,,,,,,,,,,,,
Dick,Dyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicker,Dycker,Diker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson,Dickinsonne,Dickenson,Dickonson,Diconson,Dyckinsonne,Dyconson,Dickison,Dickisonn,Dickeson,Dickesonn,Dikeson,Dikisonn,Dickeyson,Dickingson,Dicison,Dickyson,Dyckeson,Dyckeyson,Dyckyson,Dykkyson,,,,,,,,,,,
Dickon,Dicken,Dickin,Dickon,Dikon,Dyckon,Dickorne,Dicko,,,,,,,,,,,,,,,,,,,,,,,,
Dickson,Dicksonn,Dicksonne,Dixon,Dicson,Dikson,Dycksonne,Dycson,Dixsonn,Dixone,Dixson,Dixsone,Dyxsone,Dyxon,Dyxson,Dexson,Deckson,Dison,,,,,,,,,,,,,,
Dingwell,Dingwall,Dinwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinsdale,Dinisdaill,Dinsdell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditchberry,Ditchbare,Ditchbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditchburn,Ditcheburne,Ditchborne,Dichborne,Dicheborne,Dichboorne,Dichborn,Duchborne,Duchburne,Dychborne,Dycheborn,Dycheburne,Dyshborne,Detchburn,Dichbourne,Dichburn,Dichburne,Dishburn,Ditchboorn,Ditchboorne,Ditchborn,Ditchbourn,Ditchbourne,Ditchburnne,Ditchburne,Duchborn,Dutchburn,Dutchburne,Dytchborn,Titchborn,Tichborne,Tutchbourne
